Maternal Mortality Change,Maternal Mortality,Malaria Cases Change,Malaria Cases,Neonatal Mortality Change,Neonatal Mortality,GDP Change,GDP per capita,Pupil Teacher Ratio,Pupil Teacher Ratio Change,Tuberculosis Incidents Change,Tuberculosis Incidents,Country,Measles Vaccine,Measles Vaccines,Hib3 Immunizations %,Hib3 Immunizations,Water Services,Water Services Access
-51,Significant decrease,-8227,Significant decrease,-5,Decrease,1121.197392,Significant increase,,,-21,Decrease,BOL,6,Increase,-4,Decrease,4.263254154,Increased
-28,Moderate decrease,-330,Decrease,-4,Decrease,809.0373404,Increase,,,-192,Significant decrease,BWA,1,Stayed the same,,,6.356271067,Increased
-1,No change,-4987,Decrease,0,No change,-5170.417647,Significant decrease,,,1,No change,CAN,-1,Stayed the same,1,Stayed the same,0.143124873,Stayed the same
-65,Significant decrease,3408298,Significant increase,-4,Decrease,269.7218928,Increase,,,-43,Significant decrease,CIV,1,Stayed the same,0,Stayed the same,,
-61,Significant decrease,12913061,Significant increase,-4,Decrease,137.2972678,Increase,,,-4,No change,COD,3,Increase,19,Significant Increase,,
-62,Significant decrease,-35472,Significant decrease,-4,Decrease,-43.02086311,Decrease,,,2,No change,COM,18,Significant Increase,17,Significant Increase,-3.257126357,Decreased
-11,Moderate decrease,1,No change,-3,Decrease,-247.2726303,Decrease,,,-32,Decrease,CPV,-4,Decrease,,,,
-37,Moderate decrease,12794,Increase,-5,Decrease,,,,,-282,Significant decrease,DJI,-10,Significant Decrease,-20,Significant Decrease,,
-2,No change,-2724,Decrease,-2,Decrease,1725.482215,Significant increase,,,0,No change,DOM,0,Stayed the same,-8,Significant Decrease,,
-2,No change,-1,No change,-2,Decrease,-534.3030944,Decrease,,,-8,Decrease,DZA,-1,Stayed the same,-4,Decrease,1.12638585,Increased
-17,Moderate decrease,-697,Decrease,-1,Decrease,1426.502971,Significant increase,,,0,No change,ECU,-9,Significant Decrease,-7,Decrease,,
-7,Moderate decrease,0,No change,-3,Decrease,880.2031254,Increase,,,-4,No change,EGY,-1,Stayed the same,,,,
-69,Significant decrease,-11731,Significant decrease,-3,Decrease,,,,,-41,Significant decrease,ERI,2,Increase,0,Stayed the same,,
-175,Significant decrease,560307,Significant increase,-7,Decrease,375.570478,Increase,,,-91,Significant decrease,ETH,2,Increase,11,Significant Increase,,
